Geographic Area Name,CBSA Code,Metropolitan/Micropolitan Statistical Area,States,Population,Population change in latest year,2020 Population,2021 Population,2022 Population,2023 Population,2020 Net Population Change,2021 Net Population Change,2022  Net Population Change,2023  Net Population Change,2020 Births,2021 Births,2022 Births,2023 Births,2020 Deaths,2021 Deaths,2022 Deaths,2023 Deaths,Natural Change 2020,Natural Change 2021,Natural Change 2022,Natural Change 2023,International Migration 2020,International Migration 2021,International Migration 2022,International Migration 2023,Domestic Migration 2020,Domestic Migration 2021,Domestic Migration 2022,Domestic Migration 2023,Net Migration 2020,Net Migration 2021,Net Migration 2022,Net Migration 2023,Residual 2020,Residual 2021,Residual 2022,Residual 2023
"Talladega-Sylacauga, AL",45180,Micropolitan Statistical Area,AL,91400,0.003788919,91910,91048,91055,91400,-617,-862,7,345,246,963,954,960,294,1509,1485,1321,-48,-546,-531,-361,0,14,13,24,-477,-359,526,682,-477,-345,539,706,-92,29,-1,0
"Tallahassee, FL",45220,Metropolitan Statistical Area,FL,392645,0.004430653,385658,388370,390913,392645,1357,2712,2543,1732,955,3774,3768,3755,831,3793,3850,3533,124,-19,-82,222,4,323,772,1174,1449,2233,2010,324,1453,2556,2782,1498,-220,175,-157,12
"Tampa-St. Petersburg-Clearwater, FL",45300,Metropolitan Statistical Area,FL,3342963,0.015684185,3187828,3230074,3291341,3342963,12537,42246,61267,51622,7286,30385,31993,32191,8669,38378,39994,35256,-1383,-7993,-8001,-3065,310,4581,12593,18830,14621,46262,54613,35830,14931,50843,67206,54660,-1011,-604,2062,27
"Taos, NM",45340,Micropolitan Statistical Area,NM,34405,-0.005348367,34463,34685,34590,34405,-27,222,-95,-185,58,229,236,235,73,427,423,394,-15,-198,-187,-159,1,1,38,22,-17,424,63,-46,-16,425,101,-24,4,-5,-9,-2
"Taylorville, IL",45380,Micropolitan Statistical Area,IL,33228,-0.004851752,33960,33703,33390,33228,-79,-257,-313,-162,83,296,291,284,98,503,486,449,-15,-207,-195,-165,0,1,-1,0,-65,-74,-105,3,-65,-73,-106,3,1,23,-12,0
"Terre Haute, IN",45460,Metropolitan Statistical Area,IN,168787,0.001132886,168778,168722,168596,168787,-96,-56,-126,191,465,1838,1823,1852,492,2284,2239,2066,-27,-446,-416,-214,1,58,156,176,-109,203,227,229,-108,261,383,405,39,129,-93,0
"Texarkana, TX-AR",45500,Metropolitan Statistical Area,TX-AR,145907,-0.0019017,147485,146749,146185,145907,-39,-736,-564,-278,445,1713,1842,1552,470,2195,2198,1975,-25,-482,-356,-423,1,42,51,54,-55,-356,-224,86,-54,-314,-173,140,40,60,-35,5
"The Dalles, OR",45520,Micropolitan Statistical Area,OR,26333,-0.008360008,26640,26739,26555,26333,-30,99,-184,-222,73,253,264,248,83,353,392,388,-10,-100,-128,-140,0,4,5,0,-25,189,-47,-80,-25,193,-42,-80,5,6,-14,-2
"Thomaston, GA",45580,Micropolitan Statistical Area,GA,28263,0.00605133,27745,27689,28093,28263,45,-56,404,170,88,325,331,329,119,515,514,451,-31,-190,-183,-122,0,6,-4,-5,76,111,567,296,76,117,563,291,0,17,24,1
"Thomasville, GA",45620,Micropolitan Statistical Area,GA,71715,0.002376127,71999,71668,71545,71715,-28,-331,-123,170,207,813,804,824,230,1012,1015,930,-23,-199,-211,-106,0,-1,16,43,-19,-159,100,232,-19,-160,116,275,14,28,-28,1
"Tiffin, OH",45660,Micropolitan Statistical Area,OH,54527,-0.00012836,55054,54864,54534,54527,-22,-190,-330,-7,153,580,592,592,171,749,758,669,-18,-169,-166,-77,0,20,47,57,-17,-70,-192,13,-17,-50,-145,70,13,29,-19,0
"Tifton, GA",45700,Micropolitan Statistical Area,GA,50463,0.005820095,50373,50001,50171,50463,13,-372,170,292,164,596,612,628,155,708,681,622,9,-112,-69,6,0,3,19,28,-13,-285,233,255,-13,-282,252,283,17,22,-13,3
"Toccoa, GA",45740,Micropolitan Statistical Area,GA,27228,0.018021386,26818,26765,26746,27228,39,-53,-19,482,74,268,291,297,85,433,474,422,-11,-165,-183,-125,0,7,5,9,47,95,170,593,47,102,175,602,3,10,-11,5
"Toledo, OH",45780,Metropolitan Statistical Area,OH,600141,-0.000629456,605761,602291,600519,600141,-480,-3470,-1772,-378,1747,6633,6613,6651,1972,7387,7424,6552,-225,-754,-811,99,13,298,711,845,-420,-3211,-1584,-1350,-407,-2913,-873,-505,152,197,-88,28
"Topeka, KS",45820,Metropolitan Statistical Area,KS,232322,0.00183271,232903,232817,231897,232322,-236,-86,-920,425,619,2488,2558,2592,635,2984,2960,2674,-16,-496,-402,-82,1,59,124,75,-247,196,-563,433,-246,255,-439,508,26,155,-79,-1
"Torrington, CT",45860,Micropolitan Statistical Area,CT,113463,0.001641993,112202,112953,113277,113463,-263,751,324,186,219,874,935,921,402,1220,1233,1192,-183,-346,-298,-271,0,70,224,214,-89,995,480,249,-89,1065,704,463,9,32,-82,-6
