Geographic Area Name,CBSA Code,Metropolitan/Micropolitan Statistical Area,States,Population,Population change in latest year,2020 Population,2021 Population,2022 Population,2023 Population,2020 Net Population Change,2021 Net Population Change,2022  Net Population Change,2023  Net Population Change,2020 Births,2021 Births,2022 Births,2023 Births,2020 Deaths,2021 Deaths,2022 Deaths,2023 Deaths,Natural Change 2020,Natural Change 2021,Natural Change 2022,Natural Change 2023,International Migration 2020,International Migration 2021,International Migration 2022,International Migration 2023,Domestic Migration 2020,Domestic Migration 2021,Domestic Migration 2022,Domestic Migration 2023,Net Migration 2020,Net Migration 2021,Net Migration 2022,Net Migration 2023,Residual 2020,Residual 2021,Residual 2022,Residual 2023
"Las Vegas-Henderson-North Las Vegas, NV",29820,Metropolitan Statistical Area,NV,2336573,0.006044258,2274887,2295310,2322535,2336573,9412,20423,27225,14038,6084,25116,25223,24876,4841,22508,23150,20042,1243,2608,2073,4834,132,3073,8621,3693,8305,13721,16483,5404,8437,16794,25104,9097,-268,1021,48,107
"Laurel, MS",29860,Micropolitan Statistical Area,MS,82263,-0.003078154,83513,83045,82517,82263,-98,-468,-528,-254,261,1067,1124,1122,295,1243,1350,1190,-34,-176,-226,-68,0,-1,-16,49,-77,-336,-240,-235,-77,-337,-256,-186,13,45,-46,0
"Laurinburg, NC",29900,Micropolitan Statistical Area,NC,34376,0.000756914,34290,34285,34350,34376,113,-5,65,26,86,377,399,412,111,586,531,515,-25,-209,-132,-103,0,14,58,63,153,171,151,64,153,185,209,127,-15,19,-12,2
"Lawrence, KS",29940,Metropolitan Statistical Area,KS,120553,0.004549735,118784,119493,120007,120553,5,709,514,546,241,1010,1052,1069,210,876,879,796,31,134,173,273,11,159,400,322,-71,320,17,-55,-60,479,417,267,34,96,-76,6
"Lawrenceburg, TN",29980,Micropolitan Statistical Area,TN,46114,0.013449958,44181,44768,45502,46114,21,587,734,612,106,603,594,590,170,710,705,637,-64,-107,-111,-47,0,0,2,4,78,697,825,653,78,697,827,657,7,-3,18,2
"Lawton, OK",30020,Metropolitan Statistical Area,OK,127001,-0.005271238,126660,127766,127674,127001,9,1106,-92,-673,387,1670,1628,1610,298,1490,1558,1390,89,180,70,220,27,17,97,142,-137,851,-199,-1030,-110,868,-102,-888,30,58,-60,-5
"Le Mars, IA",30180,Micropolitan Statistical Area,IA,25722,0,25692,25731,25722,25722,-7,39,-9,0,59,293,309,306,66,290,274,264,-7,3,35,42,1,33,74,47,-6,-8,-115,-89,-5,25,-41,-42,5,11,-3,0
"Lebanon, MO",30060,Micropolitan Statistical Area,MO,36680,0.009217224,36043,36156,36345,36680,6,113,189,335,103,472,471,470,103,537,552,494,0,-65,-81,-24,0,0,13,10,-2,158,266,348,-2,158,279,358,8,20,-9,1
"Lebanon, PA",30140,Metropolitan Statistical Area,PA,144252,0.002432211,143278,143759,143902,144252,25,481,143,350,382,1534,1587,1578,458,1889,1884,1707,-76,-355,-297,-129,5,115,230,226,54,647,300,250,59,762,530,476,42,74,-90,3
"Lebanon-Claremont, NH-VT",30150,Micropolitan Statistical Area,NH-VT,225159,0.000355431,221299,222080,225079,225159,99,781,2999,80,405,1680,1799,1673,543,2325,2555,2499,-138,-645,-756,-826,6,216,515,204,198,1270,3080,702,204,1486,3595,906,33,-60,160,0
"Lewisburg, PA",30260,Micropolitan Statistical Area,PA,42042,-0.015179199,42646,42469,42690,42042,-35,-177,221,-648,103,385,351,345,115,469,489,457,-12,-84,-138,-112,-1,12,36,37,-27,-130,318,-579,-28,-118,354,-542,5,25,5,6
"Lewisburg, TN",30280,Micropolitan Statistical Area,TN,36961,0.030788967,34475,35059,35857,36961,148,584,798,1104,102,426,424,429,80,466,474,441,22,-40,-50,-12,0,31,30,30,130,600,788,1091,130,631,818,1121,-4,-7,30,-5
"Lewiston, ID-WA",30300,Metropolitan Statistical Area,ID-WA,65536,0.001390481,64469,64969,65445,65536,92,500,476,91,167,646,629,616,194,854,954,900,-27,-208,-325,-284,0,10,23,67,112,691,783,309,112,701,806,376,7,7,-5,-1
"Lewiston-Auburn, ME",30340,Metropolitan Statistical Area,ME,113765,0.004769265,111175,112732,113225,113765,43,1557,493,540,296,1036,1131,1136,293,1297,1523,1429,3,-261,-392,-293,1,110,368,346,6,1765,538,478,7,1875,906,824,33,-57,-21,9
"Lewistown, PA",30380,Micropolitan Statistical Area,PA,45922,-0.001348295,46137,46171,45984,45922,3,34,-187,-62,152,538,543,535,146,729,663,622,6,-191,-120,-87,0,5,7,7,-14,194,-45,17,-14,199,-38,24,11,26,-29,1
"Lexington Park, MD",30500,Metropolitan Statistical Area,MD,210009,0.003186174,206914,208883,209342,210009,348,1969,459,667,559,2323,2404,2362,502,1895,1929,1859,57,428,475,503,0,79,196,288,233,1347,-120,-124,233,1426,76,164,58,115,-92,0
"Lexington, NE",30420,Micropolitan Statistical Area,NE,25932,0.007459207,25981,25763,25740,25932,-23,-218,-23,192,113,370,378,386,70,277,276,266,43,93,102,120,4,66,186,247,-67,-370,-315,-177,-63,-304,-129,70,-3,-7,4,2
"Lexington-Fayette, KY",30460,Metropolitan Statistical Area,KY,520045,0.004436521,517407,516639,517748,520045,587,-768,1109,2297,1408,5756,5879,5904,1175,5089,5357,4702,233,667,522,1202,25,372,910,1607,211,-1918,-146,-512,236,-1546,764,1095,118,111,-177,0
"Liberal, KS",30580,Micropolitan Statistical Area,KS,21067,-0.013024127,21857,21763,21345,21067,-106,-94,-418,-278,90,370,385,393,30,171,169,164,60,199,216,229,1,24,19,-3,-152,-310,-680,-504,-151,-286,-661,-507,-15,-7,27,0
"Lima, OH",30620,Metropolitan Statistical Area,OH,100838,-0.002561896,102125,101784,101097,100838,-86,-341,-687,-259,293,1171,1194,1209,284,1379,1390,1236,9,-208,-196,-27,0,26,51,66,-103,-215,-521,-302,-103,-189,-470,-236,8,56,-21,4
"Lincoln, IL",30660,Micropolitan Statistical Area,IL,27590,-0.002747054,27912,27979,27666,27590,-83,67,-313,-76,52,237,255,254,85,407,355,342,-33,-170,-100,-88,0,4,10,12,-49,230,-229,0,-49,234,-219,12,-1,3,6,0
"Lincoln, NE",30700,Metropolitan Statistical Area,NE,344387,0.006805843,340783,340960,342059,344387,562,177,1099,2328,1000,3895,3826,3836,644,2825,2963,2720,356,1070,863,1116,17,354,872,1090,54,-1408,-485,106,71,-1054,387,1196,135,161,-151,16
"Little Rock-North Little Rock-Conway, AR",30780,Metropolitan Statistical Area,AR,764045,0.008283538,748990,751986,757768,764045,952,2996,5782,6277,2143,8833,9038,9053,1900,8658,8859,7764,243,175,179,1289,21,275,594,776,464,2280,5188,4225,485,2555,5782,5001,224,266,-179,-13
"Lock Haven, PA",30820,Micropolitan Statistical Area,PA,37607,-0.00447374,37370,38015,37776,37607,-74,645,-239,-169,110,384,374,349,112,466,492,472,-2,-82,-118,-123,0,4,10,10,-73,750,-119,-56,-73,754,-109,-46,1,-27,-12,0
"Logan, UT-ID",30860,Metropolitan Statistical Area,UT-ID,157887,0.016559894,147913,152128,155315,157887,561,4215,3187,2572,595,2273,2330,2338,162,802,910,853,433,1471,1420,1485,-1,74,179,335,84,2691,1590,745,83,2765,1769,1080,45,-21,-2,7
"Logansport, IN",30900,Micropolitan Statistical Area,IN,37666,0.003436609,37786,37558,37537,37666,-73,-228,-21,129,95,454,483,474,114,523,507,464,-19,-69,-24,10,2,43,115,128,-56,-209,-101,-6,-54,-166,14,122,0,7,-11,-3
"Longview, TX",30980,Metropolitan Statistical Area,TX,293498,0.010059365,286350,288187,290575,293498,171,1837,2388,2923,853,3439,3600,3657,838,4021,4140,3728,15,-582,-540,-71,1,126,241,248,87,2224,2690,2751,88,2350,2931,2999,68,69,-3,-5
"Longview-Kelso, WA",31020,Metropolitan Statistical Area,WA,112864,0.007138778,111014,111685,112064,112864,286,671,379,800,296,1207,1230,1218,297,1422,1509,1412,-1,-215,-279,-194,2,39,107,55,287,813,563,937,289,852,670,992,-2,34,-12,2
"Los Alamos, NM",31060,Micropolitan Statistical Area,NM,19444,0.008872516,19418,19390,19273,19444,-2,-28,-117,171,36,183,170,170,37,135,146,135,-1,48,24,35,2,58,157,130,-7,-141,-301,6,-5,-83,-144,136,4,7,3,0
"Los Angeles-Long Beach-Anaheim, CA",31080,Metropolitan Statistical Area,CA,12799100,-0.005519522,13178547,12970073,12870137,12799100,-22426,-208474,-99936,-71037,31399,124588,128072,126031,25216,115337,101309,95757,6183,9251,26763,30274,233,15946,45352,53247,-29715,-227496,-171405,-154634,-29482,-211550,-126053,-101387,873,-6175,-646,76
"Louisville/Jefferson County, KY-IN",31140,Metropolitan Statistical Area,KY-IN,1365557,0.003127158,1362955,1361424,1361300,1365557,810,-1531,-124,4257,3777,15164,15363,15335,3709,16326,16850,14570,68,-1162,-1487,765,74,960,2517,3820,291,-1735,-807,-328,365,-775,1710,3492,377,406,-347,0
"Lubbock, TX",31180,Metropolitan Statistical Area,TX,360104,0.009291206,352167,355386,356789,360104,906,3219,1403,3315,1106,4416,4609,4661,866,4108,3880,3454,240,308,729,1207,17,391,942,1038,587,2431,-315,1056,604,2822,627,2094,62,89,47,14
"Ludington, MI",31220,Micropolitan Statistical Area,MI,29159,-0.005423289,29033,29339,29318,29159,-20,306,-21,-159,56,229,232,232,106,416,446,410,-50,-187,-214,-178,0,4,17,14,25,500,177,7,25,504,194,21,5,-11,-1,-2
"Lufkin, TX",31260,Micropolitan Statistical Area,TX,87319,0.002238189,86388,86730,87124,87319,-12,342,394,195,265,1145,1156,1178,294,1201,1247,1102,-29,-56,-91,76,0,-2,14,13,-5,350,497,101,-5,348,511,114,22,50,-26,5
"Lumberton, NC",31300,Micropolitan Statistical Area,NC,117365,0.007718991,116309,116142,116466,117365,-205,-167,324,899,380,1766,1867,1862,428,1828,1860,1702,-48,-62,7,160,0,44,135,162,-166,-215,257,573,-166,-171,392,735,9,66,-75,4
"Lynchburg, VA",31340,Metropolitan Statistical Area,VA,264590,0.005246781,261643,262483,263209,264590,46,840,726,1381,654,2719,2720,2633,716,3413,3512,3262,-62,-694,-792,-629,1,134,311,194,65,1292,1302,1828,66,1426,1613,2022,42,108,-95,-12
"Macomb, IL",31380,Micropolitan Statistical Area,IL,26839,-0.002786654,27100,26880,26914,26839,-132,-220,34,-75,67,258,244,233,95,343,331,319,-28,-85,-87,-86,0,12,35,42,-95,-154,106,-29,-95,-142,141,13,-9,7,-20,-2
"Macon-Bibb County, GA",31420,Metropolitan Statistical Area,GA,236074,0.009070237,233610,233159,233952,236074,-198,-451,793,2122,684,2619,2731,2737,733,3372,3350,2984,-49,-753,-619,-247,0,49,105,111,-187,193,1389,2266,-187,242,1494,2377,38,60,-82,-8
"Madison, IN",31500,Micropolitan Statistical Area,IN,33056,0.00364343,33100,33117,32936,33056,-43,17,-181,120,79,350,349,347,89,460,440,417,-10,-110,-91,-70,1,17,25,33,-37,87,-106,157,-36,104,-81,190,3,23,-9,0
"Madison, WI",31540,Metropolitan Statistical Area,WI,694345,0.010943044,681902,680860,686829,694345,1097,-1042,5969,7516,1780,6711,6807,6757,1271,5132,5242,4807,509,1579,1565,1950,60,931,2120,3544,317,-3817,2381,1982,377,-2886,4501,5526,211,265,-97,40
"Madisonville, KY",31580,Micropolitan Statistical Area,KY,44929,6.67765E-05,45369,45189,44926,44929,-52,-180,-263,3,103,526,511,524,187,686,751,651,-84,-160,-240,-127,0,7,10,55,19,-54,-9,75,19,-47,1,130,13,27,-24,0
"Magnolia, AR",31620,Micropolitan Statistical Area,AR,22150,-0.006102486,22744,22490,22286,22150,-56,-254,-204,-136,57,268,274,256,79,370,319,298,-22,-102,-45,-42,0,6,15,20,-36,-157,-165,-114,-36,-151,-150,-94,2,-1,-9,0
"Malvern, AR",31680,Micropolitan Statistical Area,AR,33258,0.003288184,33075,33079,33149,33258,31,4,70,109,74,298,308,304,101,552,529,475,-27,-254,-221,-171,0,4,-1,-1,52,245,292,279,52,249,291,278,6,9,0,2
"Manchester-Nashua, NH",31700,Metropolitan Statistical Area,NH,427354,-0.000325152,422913,424413,427493,427354,-25,1500,3080,-139,1022,4087,4222,4170,1107,3859,4090,3952,-85,228,132,218,60,850,2204,593,-158,81,944,-956,-98,931,3148,-363,158,341,-200,6
"Manhattan, KS",31740,Metropolitan Statistical Area,KS,132831,-0.004145925,134187,133860,133384,132831,145,-327,-476,-553,463,2109,2043,2065,210,889,955,909,253,1220,1088,1156,16,105,424,425,-177,-1639,-1994,-2134,-161,-1534,-1570,-1709,53,-13,6,0
"Manitowoc, WI",31820,Micropolitan Statistical Area,WI,81331,0.001637971,81387,81506,81198,81331,27,119,-308,133,186,741,732,726,206,1017,991,917,-20,-276,-259,-191,0,32,82,143,30,309,-88,184,30,341,-6,327,17,54,-43,-3
"Mankato, MN",31860,Metropolitan Statistical Area,MN,104248,0.002905355,103698,103728,103946,104248,135,30,218,302,282,1030,1026,1025,228,822,924,877,54,208,102,148,3,110,328,301,46,-336,-157,-149,49,-226,171,152,32,48,-55,2
"Mansfield, OH",31900,Metropolitan Statistical Area,OH,125064,-0.001572716,124966,125341,125261,125064,39,375,-80,-197,341,1376,1362,1354,356,1772,1866,1638,-15,-396,-504,-284,0,28,52,65,15,685,416,21,15,713,468,86,39,58,-44,1
"Marietta, OH",31930,Micropolitan Statistical Area,OH,58577,-0.004943263,59647,59486,58868,58577,-120,-161,-618,-291,126,552,543,524,198,832,926,849,-72,-280,-383,-325,0,13,28,42,-53,65,-239,-6,-53,78,-211,36,5,41,-24,-2
"Marinette, WI-MI",31940,Micropolitan Statistical Area,WI-MI,65051,-0.002147536,65340,65175,65191,65051,-33,-165,16,-140,137,544,509,432,223,947,976,910,-86,-403,-467,-478,0,5,15,32,50,200,476,308,50,205,491,340,3,33,-8,-2
"Marion, IN",31980,Micropolitan Statistical Area,IN,66200,0.003136696,66507,66188,65993,66200,-173,-319,-195,207,189,711,756,745,256,1095,1147,1038,-67,-384,-391,-293,0,14,95,114,-107,1,137,386,-107,15,232,500,1,50,-36,0
"Marion, NC",32000,Micropolitan Statistical Area,NC,44893,0.003083454,44547,44530,44755,44893,-35,-17,225,138,99,369,393,392,130,659,702,653,-31,-290,-309,-261,1,15,40,52,-17,238,480,346,-16,253,520,398,12,20,14,1
"Marion, OH",32020,Micropolitan Statistical Area,OH,64851,0.003745608,65388,65310,64609,64851,35,-78,-701,242,173,676,715,723,203,868,941,845,-30,-192,-226,-122,0,7,10,8,45,62,-492,351,45,69,-482,359,20,45,7,5
"Marion-Herrin, IL",32060,Micropolitan Statistical Area,IL,66706,0.002434479,67114,66883,66544,66706,-38,-231,-339,162,158,660,638,633,194,917,901,854,-36,-257,-263,-221,0,26,52,61,-19,-43,-101,322,-19,-17,-49,383,17,43,-27,0
"Marquette, MI",32100,Micropolitan Statistical Area,MI,66999,0.006777063,66012,65739,66548,66999,-1,-273,809,451,148,550,568,561,143,774,806,737,5,-224,-238,-176,0,7,34,37,-26,-98,969,582,-26,-91,1003,619,20,42,44,8
"Marshall, MN",32140,Micropolitan Statistical Area,MN,25427,-0.000235914,25423,25492,25433,25427,-97,69,-59,-6,78,313,327,294,59,275,257,243,19,38,70,51,0,50,136,135,-105,-33,-280,-193,-105,17,-144,-58,-11,14,15,1
"Marshall, MO",32180,Micropolitan Statistical Area,MO,23049,0.001999739,23331,23253,23003,23049,4,-78,-250,46,64,243,242,242,61,323,319,294,3,-80,-77,-52,0,21,43,33,-6,-33,-215,66,-6,-12,-172,99,7,14,-1,-1
"Marshalltown, IA",32260,Micropolitan Statistical Area,IA,40014,0.004846689,40096,39913,39821,40014,-10,-183,-92,193,122,483,481,479,127,552,556,537,-5,-69,-75,-58,14,121,264,283,-24,-247,-281,-33,-10,-126,-17,250,5,12,0,1
"Martin, TN",32280,Micropolitan Statistical Area,TN,33084,0.001240807,32903,32883,33043,33084,0,-20,160,41,72,337,333,340,93,493,507,469,-21,-156,-174,-129,0,6,3,12,11,112,329,155,11,118,332,167,10,18,2,3
"Martinsville, VA",32300,Micropolitan Statistical Area,VA,63465,-0.00042525,64325,63796,63492,63465,-104,-529,-304,-27,149,617,642,653,245,1286,1288,1206,-96,-669,-646,-553,1,36,57,42,-26,62,310,492,-25,98,367,534,17,42,-25,-8
"Maryville, MO",32340,Micropolitan Statistical Area,MO,20695,-0.000965484,20997,20983,20715,20695,-238,-14,-268,-20,64,223,213,214,34,199,185,179,30,24,28,35,0,-1,31,25,-217,-50,-343,-80,-217,-51,-312,-55,-51,13,16,0
"Mason City, IA",32380,Micropolitan Statistical Area,IA,49703,-0.000683596,50458,50138,49737,49703,-116,-320,-401,-34,126,495,524,528,157,704,691,639,-31,-209,-167,-111,0,15,55,33,-82,-153,-277,43,-82,-138,-222,76,-3,27,-12,1
"Massena-Ogdensburg, NY",32390,Micropolitan Statistical Area,NY,106940,-0.001391366,108329,107823,107089,106940,-172,-506,-734,-149,277,987,1025,1022,250,1199,1255,1193,27,-212,-230,-171,0,45,131,125,-201,-384,-621,-104,-201,-339,-490,21,2,45,-14,1
"MayagÃƒÂ¼ez, PR",32420,Metropolitan Statistical Area,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mayfield, KY",32460,Micropolitan Statistical Area,KY,36461,-0.00087688,36528,36673,36493,36461,-126,145,-180,-32,93,451,467,465,139,551,572,507,-46,-100,-105,-42,1,1,7,37,-80,227,-61,-28,-79,228,-54,9,-1,17,-21,1
"McAlester, OK",32540,Micropolitan Statistical Area,OK,43479,6.90036E-05,43788,43630,43476,43479,15,-158,-154,3,123,477,488,487,150,794,805,699,-27,-317,-317,-212,0,5,7,12,31,128,176,204,31,133,183,216,11,26,-20,-1
"McAllen-Edinburg-Mission, TX",32580,Metropolitan Statistical Area,TX,898471,0.011465902,872856,879865,888286,898471,2069,7009,8421,10185,3107,13023,13556,13671,1113,7755,6163,5383,1994,5268,7393,8288,-17,590,1811,1695,-198,427,-394,139,-215,1017,1417,1834,290,724,-389,63
"McComb, MS",32620,Micropolitan Statistical Area,MS,53257,-0.004746688,54063,53840,53511,53257,-147,-223,-329,-254,149,676,684,693,228,829,865,799,-79,-153,-181,-106,0,0,2,26,-73,-97,-127,-176,-73,-97,-125,-150,5,27,-23,2
"McMinnville, TN",32660,Micropolitan Statistical Area,TN,42638,0.015166306,41052,41468,42001,42638,106,416,533,637,117,471,550,547,115,625,622,567,2,-154,-72,-20,1,25,57,60,98,548,536,594,99,573,593,654,5,-3,12,3
"McPherson, KS",32700,Micropolitan Statistical Area,KS,30091,0.000931377,30184,30164,30063,30091,-37,-20,-101,28,72,297,324,329,98,433,440,395,-26,-136,-116,-66,0,6,12,5,-14,87,13,91,-14,93,25,96,3,23,-10,-2
"Meadville, PA",32740,Micropolitan Statistical Area,PA,82001,-0.004902615,83807,83209,82405,82001,-131,-598,-804,-404,197,873,880,870,210,1203,1244,1141,-13,-330,-364,-271,0,13,18,18,-118,-303,-455,-152,-118,-290,-437,-134,0,22,-3,1
"Medford, OR",32780,Metropolitan Statistical Area,OR,220768,-0.004064619,223620,224353,221669,220768,365,733,-2684,-901,546,2113,2145,2083,606,2703,2997,2758,-60,-590,-852,-675,1,10,36,-9,410,1245,-1826,-216,411,1255,-1790,-225,14,68,-42,-1
"Memphis, TN-MS-AR",32820,Metropolitan Statistical Area,TN-MS-AR,1335674,-0.002235806,1346172,1342637,1338667,1335674,736,-3535,-3970,-2993,4193,17500,17128,16720,3491,16550,16522,14341,702,950,606,2379,47,547,1468,2590,-246,-5214,-5912,-7988,-199,-4667,-4444,-5398,233,182,-132,26
"Menomonie, WI",32860,Micropolitan Statistical Area,WI,45794,0.003770111,45440,44518,45622,45794,15,-922,1104,172,99,441,444,444,71,392,431,408,28,49,13,36,0,12,27,60,-27,-933,990,76,-27,-921,1017,136,14,-50,74,0
"Merced, CA",32900,Metropolitan Statistical Area,CA,291920,0.005892285,281830,284610,290210,291920,625,2780,5600,1710,906,3820,3897,3787,528,2364,2254,2169,378,1456,1643,1618,3,116,383,660,123,1053,3446,-593,126,1169,3829,67,121,155,128,25
"Meridian, MS",32940,Micropolitan Statistical Area,MS,85755,-0.006833053,88220,87352,86345,85755,-371,-868,-1007,-590,252,1015,1011,1003,395,1407,1321,1157,-143,-392,-310,-154,5,0,34,86,-223,-507,-729,-523,-218,-507,-695,-437,-10,31,-2,1
"Mexico, MO",33020,Micropolitan Statistical Area,MO,24394,-0.003594478,24786,24861,24482,24394,-173,75,-379,-88,60,307,287,287,89,356,338,331,-29,-49,-51,-44,0,4,1,0,-120,110,-352,-47,-120,114,-351,-47,-24,10,23,3
"Miami, OK",33060,Micropolitan Statistical Area,OK,30287,-0.001384813,30222,30380,30329,30287,-62,158,-51,-42,80,405,421,432,107,567,574,533,-27,-162,-153,-101,0,5,18,27,-37,309,96,31,-37,314,114,58,2,6,-12,1
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,Metropolitan Statistical Area,FL,6183199,0.007066503,6133365,6108758,6139812,6183199,-4991,-24607,31054,43387,14827,60229,65232,65533,14598,61731,61923,54655,229,-1502,3309,10878,1390,25594,64835,94725,-6936,-49131,-35821,-62062,-5546,-23537,29014,32663,326,432,-1269,-154
"Michigan City-La Porte, IN",33140,Metropolitan Statistical Area,IN,111706,-0.001037363,112270,112513,111822,111706,-134,243,-691,-116,288,1117,1183,1180,361,1420,1391,1274,-73,-303,-208,-94,0,8,27,35,-84,483,-468,-61,-84,491,-441,-26,23,55,-42,4
"Middlesborough, KY",33180,Micropolitan Statistical Area,KY,23317,-0.012451823,23984,23834,23611,23317,-116,-150,-223,-294,62,313,289,289,86,470,541,459,-24,-157,-252,-170,0,0,-2,-2,-87,-4,40,-123,-87,-4,38,-125,-5,11,-9,1
"Midland, MI",33220,Metropolitan Statistical Area,MI,84039,0.003306989,83478,83479,83762,84039,-9,1,283,277,182,814,863,862,207,899,944,858,-25,-85,-81,4,0,38,59,88,-3,-7,357,188,-3,31,416,276,19,55,-52,-3
"Midland, TX",33260,Metropolitan Statistical Area,TX,182324,0.028643644,175614,173471,177247,182324,390,-2143,3776,5077,749,2909,3011,3108,291,1468,1437,1297,458,1441,1574,1811,6,252,668,731,-131,-3714,1523,2543,-125,-3462,2191,3274,57,-122,11,-8
"Milledgeville, GA",33300,Micropolitan Statistical Area,GA,43396,-0.005431669,43790,43695,43633,43396,1,-95,-62,-237,98,433,390,386,148,602,600,525,-50,-169,-210,-139,0,10,10,13,37,30,149,-110,37,40,159,-97,14,34,-11,-1
"Milwaukee-Waukesha, WI",33340,Metropolitan Statistical Area,WI,1560424,0.000831234,1574476,1563237,1559128,1560424,-237,-11239,-4109,1296,4510,17736,17634,17122,4108,16395,16721,15072,402,1341,913,2050,130,1330,3019,5188,-1142,-13814,-7362,-5873,-1012,-12484,-4343,-685,373,-96,-679,-69
"Minden, LA",33380,Micropolitan Statistical Area,LA,35238,-0.008134658,36883,35938,35527,35238,-83,-945,-411,-289,95,356,395,393,135,736,700,640,-40,-380,-305,-247,0,12,25,25,-45,-566,-111,-69,-45,-554,-86,-44,2,-11,-20,2
"Mineral Wells, TX",33420,Micropolitan Statistical Area,TX,29747,0.014494236,28452,28742,29322,29747,39,290,580,425,80,351,355,360,115,440,459,426,-35,-89,-104,-66,0,3,8,9,72,377,650,482,72,380,658,491,2,-1,26,0
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,Metropolitan Statistical Area,MN-WI,3712020,0.0055135,3694114,3696290,3691666,3712020,3843,2176,-4624,20354,10774,41501,42740,42694,7522,28876,30240,27884,3252,12625,12500,14810,264,3941,10512,10620,-703,-14612,-27965,-4917,-439,-10671,-17453,5703,1030,222,329,-159
"Minot, ND",33500,Metropolitan Statistical Area,ND,75742,-0.00644078,77527,76867,76233,75742,-34,-660,-634,-491,273,1086,1121,1091,165,822,683,633,108,264,438,458,3,13,81,175,-154,-942,-1165,-1122,-151,-929,-1084,-947,9,5,12,-2
"Missoula, MT",33540,Metropolitan Statistical Area,MT,126939,0.007204577,122915,124700,126031,126939,457,1785,1331,908,284,1115,1146,1147,226,1052,1188,1018,58,63,-42,129,12,84,191,77,390,1648,1145,693,402,1732,1336,770,-3,-10,37,9
"Mitchell, SD",33580,Micropolitan Statistical Area,SD,25792,0.000116329,25745,25782,25789,25792,0,37,7,3,78,304,304,303,45,317,307,291,33,-13,-3,12,0,8,27,88,-30,38,-3,-98,-30,46,24,-10,-3,4,-14,1
"Moberly, MO",33620,Micropolitan Statistical Area,MO,24109,-0.020994071,24448,24563,24626,24109,-259,115,63,-517,60,268,282,282,59,361,358,326,1,-93,-76,-44,0,4,2,2,-219,196,150,-480,-219,200,152,-478,-41,8,-13,5
"Mobile, AL",33660,Metropolitan Statistical Area,AL,411640,0.000588238,414377,413383,411398,411640,-432,-994,-1985,242,1288,5197,5053,5075,1347,5456,5613,4765,-59,-259,-560,310,11,125,285,325,-457,-1131,-1528,-405,-446,-1006,-1243,-80,73,271,-182,12
"Modesto, CA",33700,Metropolitan Statistical Area,CA,551430,0.000370084,553257,552723,551226,551430,375,-534,-1497,204,1761,6906,7253,7077,1051,5765,5252,5013,710,1141,2001,2064,6,321,931,1229,-466,-2280,-4404,-3144,-460,-1959,-3473,-1915,125,284,-25,55
"Monroe, LA",33740,Metropolitan Statistical Area,LA,221885,-0.003350836,226694,224744,222631,221885,-460,-1950,-2113,-746,697,2793,2748,2740,765,3336,3183,2847,-68,-543,-435,-107,0,65,192,211,-398,-1533,-1848,-861,-398,-1468,-1656,-650,6,61,-22,11
"Monroe, MI",33780,Metropolitan Statistical Area,MI,155045,-0.001223951,154896,155534,155235,155045,94,638,-299,-190,403,1525,1411,1144,453,1871,1934,1740,-50,-346,-523,-596,0,43,125,116,97,855,196,292,97,898,321,408,47,86,-97,-2
"Montgomery, AL",33860,Metropolitan Statistical Area,AL,385480,0.000181625,385403,384872,385410,385480,-659,-531,538,70,1189,4807,4755,4772,1196,4865,4607,4092,-7,-58,148,680,7,160,401,503,-645,-733,102,-1122,-638,-573,503,-619,-14,100,-113,9
"Monticello, IN",33900,Micropolitan Statistical Area,IN,24917,0.010421736,24673,24643,24660,24917,-25,-30,17,257,67,250,329,423,87,333,328,311,-20,-83,1,112,0,17,72,85,-7,23,-49,60,-7,40,23,145,2,13,-7,0
"Monticello, NY",33910,Micropolitan Statistical Area,NY,79920,0.002320186,78453,79702,79735,79920,-160,1249,33,185,208,893,997,995,273,863,875,850,-65,30,122,145,2,47,146,134,-94,1208,-187,-93,-92,1255,-41,41,-3,-36,-48,-1
"Montrose, CO",33940,Micropolitan Statistical Area,CO,44156,0.007966763,42818,43236,43807,44156,141,418,571,349,95,381,397,395,120,532,597,542,-25,-151,-200,-147,1,24,68,72,176,552,682,424,177,576,750,496,-11,-7,21,0
"Morehead City, NC",33980,Micropolitan Statistical Area,NC,69615,0.00416871,67728,68729,69326,69615,43,1001,597,289,106,480,491,488,201,999,1088,990,-95,-519,-597,-502,2,4,19,31,145,1560,1146,762,147,1564,1165,793,-9,-44,29,-2
"Morgan City, LA",34020,Micropolitan Statistical Area,LA,47055,-0.015976913,49142,48219,47819,47055,-256,-923,-400,-764,152,641,623,616,177,697,719,661,-25,-56,-96,-45,2,46,138,105,-213,-890,-450,-821,-211,-844,-312,-716,-20,-23,8,-3
"Morgantown, WV",34060,Metropolitan Statistical Area,WV,141817,0.004369688,140100,140825,141200,141817,66,725,375,617,307,1234,1283,1282,266,1265,1352,1170,41,-31,-69,112,15,265,676,418,-49,396,-132,86,-34,661,544,504,59,95,-100,1
"Morristown, TN",34100,Metropolitan Statistical Area,TN,124054,0.01828002,119458,119907,121827,124054,276,449,1920,2227,295,1220,1312,1315,389,1946,2058,1792,-94,-726,-746,-477,1,29,105,160,370,1128,2477,2540,371,1157,2582,2700,-1,18,84,4
