Geographic Area Name,CBSA code,Metro vs Micro,Population,States,Primary State,Primary State Name
"Staunton-Stuarts Draft, VA Metro Area",44420,Metropolitan Statistical Area,126052,VA,VA,Virginia
"Stockton-Lodi, CA Metro Area",44700,Metropolitan Statistical Area,787416,CA,CA,California
"Sumter, SC Metro Area",44940,Metropolitan Statistical Area,104853,SC,SC,South Carolina
"Syracuse, NY Metro Area",45060,Metropolitan Statistical Area,657128,NY,NY,New York
"Tallahassee, FL Metro Area",45220,Metropolitan Statistical Area,388298,FL,FL,Florida
"Tampa-St. Petersburg-Clearwater, FL Metro Area",45300,Metropolitan Statistical Area,3240469,FL,FL,Florida
"Terre Haute, IN Metro Area",45460,Metropolitan Statistical Area,168850,IN,IN,Indiana
"Texarkana, TX-AR Metro Area",45500,Metropolitan Statistical Area,146868,TX-AR,TX,Texas
"Toledo, OH Metro Area",45780,Metropolitan Statistical Area,602977,OH,OH,Ohio
"Topeka, KS Metro Area",45820,Metropolitan Statistical Area,232724,KS,KS,Kansas
"Traverse City, MI Metro Area",45900,Metropolitan Statistical Area,154657,MI,MI,Michigan
"Trenton-Princeton, NJ Metro Area",45940,Metropolitan Statistical Area,383286,NJ,NJ,New Jersey
"Tucson, AZ Metro Area",46060,Metropolitan Statistical Area,1049947,AZ,AZ,Arizona
"Tulsa, OK Metro Area",46140,Metropolitan Statistical Area,1026209,OK,OK,Oklahoma
"Tuscaloosa, AL Metro Area",46220,Metropolitan Statistical Area,275217,AL,AL,Alabama
"Twin Falls, ID Metro Area",46300,Metropolitan Statistical Area,116909,ID,ID,Idaho
"Tyler, TX Metro Area",46340,Metropolitan Statistical Area,238014,TX,TX,Texas
"Urban Honolulu, HI Metro Area",46520,Metropolitan Statistical Area,1003666,HI,HI,Hawaii
"Utica-Rome, NY Metro Area",46540,Metropolitan Statistical Area,289577,NY,NY,New York
"Valdosta, GA Metro Area",46660,Metropolitan Statistical Area,149139,GA,GA,Georgia
"Vallejo, CA Metro Area",46700,Metropolitan Statistical Area,450824,CA,CA,California
"Victoria, TX Metro Area",47020,Metropolitan Statistical Area,98377,TX,TX,Texas
"Vineland, NJ Metro Area",47220,Metropolitan Statistical Area,152915,NJ,NJ,New Jersey
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area",47260,Metropolitan Statistical Area,1782590,VA-NC,VA,Virginia
"Visalia, CA Metro Area",47300,Metropolitan Statistical Area,475774,CA,CA,California
"Waco, TX Metro Area",47380,Metropolitan Statistical Area,299217,TX,TX,Texas
"Walla Walla, WA Metro Area",47460,Metropolitan Statistical Area,62102,WA,WA,Washington
"Warner Robins, GA Metro Area",47580,Metropolitan Statistical Area,195171,GA,GA,Georgia
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",47900,Metropolitan Statistical Area,6263796,DC-VA-MD-WV,DC,District Of Columbia
"Waterbury-Shelton, CT Metro Area",47930,Metropolitan Statistical Area,452303,CT,CT,Connecticut
"Waterloo-Cedar Falls, IA Metro Area",47940,Metropolitan Statistical Area,168163,IA,IA,Iowa
"Watertown-Fort Drum, NY Metro Area",48060,Metropolitan Statistical Area,116130,NY,NY,New York
"Wausau, WI Metro Area",48140,Metropolitan Statistical Area,138067,WI,WI,Wisconsin
"Weirton-Steubenville, WV-OH Metro Area",48260,Metropolitan Statistical Area,115566,WV-OH,WV,West Virginia
"Wenatchee-East Wenatchee, WA Metro Area",48300,Metropolitan Statistical Area,123251,WA,WA,Washington
"Wheeling, WV-OH Metro Area",48540,Metropolitan Statistical Area,138015,WV-OH,WV,West Virginia
"Wichita, KS Metro Area",48620,Metropolitan Statistical Area,648935,KS,KS,Kansas
"Wichita Falls, TX Metro Area",48660,Metropolitan Statistical Area,148978,TX,TX,Texas
"Wildwood-The Villages, FL Metro Area",48680,Metropolitan Statistical Area,137536,FL,FL,Florida
"Williamsport, PA Metro Area",48700,Metropolitan Statistical Area,113570,PA,PA,Pennsylvania
"Wilmington, NC Metro Area",48900,Metropolitan Statistical Area,440578,NC,NC,North Carolina
"Winchester, VA-WV Metro Area",49020,Metropolitan Statistical Area,144676,VA-WV,VA,Virginia
"Winston-Salem, NC Metro Area",49180,Metropolitan Statistical Area,683637,NC,NC,North Carolina
"Worcester, MA Metro Area",49340,Metropolitan Statistical Area,861664,MA,MA,Massachusetts
"Yakima, WA Metro Area",49420,Metropolitan Statistical Area,256605,WA,WA,Washington
"York-Hanover, PA Metro Area",49620,Metropolitan Statistical Area,459312,PA,PA,Pennsylvania
"Youngstown-Warren, OH Metro Area",49660,Metropolitan Statistical Area,428430,OH,OH,Ohio
"Yuba City, CA Metro Area",49700,Metropolitan Statistical Area,182050,CA,CA,California
"Yuma, AZ Metro Area",49740,Metropolitan Statistical Area,207685,AZ,AZ,Arizona
