Geographic Area Name,CBSA code,Metro vs Micro,Population,States,Primary State,Primary State Name
"Eureka-Arcata, CA Micro Area",21700,Micropolitan Statistical Area,135418,CA,CA,California
"Evanston, WY-UT Micro Area",21740,Micropolitan Statistical Area,23193,WY-UT,WY,Wyoming
"Fairmont, MN Micro Area",21860,Micropolitan Statistical Area,19864,MN,MN,Minnesota
"Fairmont, WV Micro Area",21900,Micropolitan Statistical Area,56042,WV,WV,West Virginia
"Fallon, NV Micro Area",21980,Micropolitan Statistical Area,25614,NV,NV,Nevada
"Faribault-Northfield, MN Micro Area",22060,Micropolitan Statistical Area,67389,MN,MN,Minnesota
"Farmington, MO Micro Area",22100,Micropolitan Statistical Area,66864,MO,MO,Missouri
"Fayetteville, TN Micro Area",22190,Micropolitan Statistical Area,35617,TN,TN,Tennessee
"Fergus Falls, MN Micro Area",22260,Micropolitan Statistical Area,60281,MN,MN,Minnesota
"Findlay, OH Micro Area",22300,Micropolitan Statistical Area,74885,OH,OH,Ohio
"Fitzgerald, GA Micro Area",22340,Micropolitan Statistical Area,17138,GA,GA,Georgia
"Forest City, NC Micro Area",22580,Micropolitan Statistical Area,64850,NC,NC,North Carolina
"Forrest City, AR Micro Area",22620,Micropolitan Statistical Area,22740,AR,AR,Arkansas
"Fort Dodge, IA Micro Area",22700,Micropolitan Statistical Area,36848,IA,IA,Iowa
"Fort Leonard Wood, MO Micro Area",22780,Micropolitan Statistical Area,53850,MO,MO,Missouri
"Fort Madison, IA Micro Area",22800,Micropolitan Statistical Area,33175,IA,IA,Iowa
"Fort Morgan, CO Micro Area",22820,Micropolitan Statistical Area,29186,CO,CO,Colorado
"Fort Payne, AL Micro Area",22840,Micropolitan Statistical Area,71946,AL,AL,Alabama
"Frankfort, IN Micro Area",23140,Micropolitan Statistical Area,32967,IN,IN,Indiana
"Frankfort, KY Micro Area",23180,Micropolitan Statistical Area,75661,KY,KY,Kentucky
"Franklin, KY Micro Area",23190,Micropolitan Statistical Area,19786,KY,KY,Kentucky
"Fredericksburg, TX Micro Area",23240,Micropolitan Statistical Area,27202,TX,TX,Texas
"Freeport, IL Micro Area",23300,Micropolitan Statistical Area,44042,IL,IL,Illinois
"Fremont, NE Micro Area",23340,Micropolitan Statistical Area,37146,NE,NE,Nebraska
"Fremont, OH Micro Area",23380,Micropolitan Statistical Area,58770,OH,OH,Ohio
"Gaffney, SC Micro Area",23500,Micropolitan Statistical Area,56299,SC,SC,South Carolina
"Gainesville, TX Micro Area",23620,Micropolitan Statistical Area,42473,TX,TX,Texas
"Galesburg, IL Micro Area",23660,Micropolitan Statistical Area,49294,IL,IL,Illinois
"Gallipolis, OH Micro Area",23680,Micropolitan Statistical Area,29162,OH,OH,Ohio
"Gallup, NM Micro Area",23700,Micropolitan Statistical Area,71172,NM,NM,New Mexico
"Garden City, KS Micro Area",23780,Micropolitan Statistical Area,38001,KS,KS,Kansas
"Gardnerville Ranchos, NV-CA Micro Area",23820,Micropolitan Statistical Area,51319,NV-CA,NV,Nevada
"Gillette, WY Micro Area",23940,Micropolitan Statistical Area,47018,WY,WY,Wyoming
"Glasgow, KY Micro Area",23980,Micropolitan Statistical Area,55042,KY,KY,Kentucky
"Gloversville, NY Micro Area",24100,Micropolitan Statistical Area,52787,NY,NY,New York
"Granbury, TX Micro Area",24180,Micropolitan Statistical Area,64198,TX,TX,Texas
"Grand Rapids, MN Micro Area",24330,Micropolitan Statistical Area,45141,MN,MN,Minnesota
"Great Bend, KS Micro Area",24460,Micropolitan Statistical Area,25275,KS,KS,Kansas
"Greencastle, IN Micro Area",24600,Micropolitan Statistical Area,37091,IN,IN,Indiana
"Greeneville, TN Micro Area",24620,Micropolitan Statistical Area,70919,TN,TN,Tennessee
"Greenfield, MA Micro Area",24640,Micropolitan Statistical Area,70922,MA,MA,Massachusetts
"Greensburg, IN Micro Area",24700,Micropolitan Statistical Area,26411,IN,IN,Indiana
